country,riesgo_encoded,riesgo_categoria,SuicideRate_BothSexes_RatePer100k_2021_norm,SuicideRate_Male_RatePer100k_2021_norm,SuicideRate_Female_RatePer100k_2021_norm,gender_ratio_2021_norm,avg_rate_3y_norm,tendencia_absoluta_norm,tendencia_porcentual_norm
India,2,Alto,0.21329027872195785,0.16927022615994405,0.36254295532646047,0.015634201810728027,0.20099997282682533,0.9069847856154909,0.1105998705999838
China,1,Medio,0.14259007477906185,0.11028211704359993,0.25189003436426116,0.010511012478744253,0.13034971875764248,0.9145919778699861,0.12149559146279573
United States,2,Alto,0.2459211420802175,0.26754488225693634,0.21855670103092786,0.22795257889815201,0.24132496399554362,0.8813969571230981,0.09707455899616567
Indonesia,0,Bajo,0.01461590754588715,0.0120074609466076,0.025773195876288665,0.07980991685182975,0.018341892883345555,0.8829529737206085,0.0622220225526753
Pakistan,1,Medio,0.08565601631543168,0.08486826766145956,0.09450171821305842,0.1450833918442475,0.09937229966576996,0.8428423236514522,0.05833873030022951
Nigeria,0,Bajo,0.05931339225016994,0.07041268360923293,0.043298969072164954,0.3260158868957099,0.05296051737724519,0.9094052558782848,0.13310571004986743
Brazil,1,Medio,0.11896668932698846,0.13161576124970858,0.10309278350515463,0.24314039521754988,0.10926333523545556,0.9113070539419086,0.1208929656201595
Bangladesh,0,Bajo,0.049116247450713794,0.04663091629750525,0.06563573883161512,0.10314117687887187,0.04752588244884649,0.8955739972337482,0.10297687057649318
Russia,2,Alto,0.3963290278721958,0.4737701095826533,0.28728522336769763,0.3456166235978832,0.3865384092823565,0.8788035961272475,0.09878559350808276
Ethiopia,1,Medio,0.0916043507817811,0.0958265329913733,0.088659793814433,0.19290300366264246,0.08350316567484578,0.9094052558782848,0.12288163090085906
Mexico,1,Medio,0.10299116247450714,0.12042434133830732,0.07147766323024055,0.3463030250522207,0.08991603489035625,0.9227178423236514,0.14242617147865563
Japan,2,Alto,0.2836505778382053,0.280018652366519,0.3374570446735395,0.11740819227103746,0.2607266106899269,0.933609958506224,0.12278091523234927
Egypt,0,Bajo,0.00390890550645819,0.0034973187223128945,0.0068728522336769775,0.1632533337277844,0.01470068748131844,0.8616874135546334,0.016433802057594676
Philippines,0,Bajo,0.0508157715839565,0.056656563301468885,0.03917525773195877,0.2836949545600597,0.03931958370696449,0.9232365145228215,0.19830589465343945
DR Congo,1,Medio,0.12474507138001358,0.1306831429237585,0.11924398625429554,0.19510639516270645,0.11181761365180294,0.9206431535269709,0.13204117335064197
Vietnam,1,Medio,0.12287559483344664,0.11412916763814412,0.1639175257731959,0.08556114667564918,0.11524143365669413,0.9049100968188104,0.11302933644817825
Iran,0,Bajo,0.060503059143439834,0.06155280951270693,0.06391752577319589,0.16625263001613683,0.06301459199478275,0.8812240663900415,0.08220356847878299
Turkey,0,Bajo,0.05200543847722638,0.05642340871998135,0.04639175257731959,0.230427058266921,0.04203690117116382,0.9209889349930843,0.18329664405409046
Germany,2,Alto,0.19595513256288238,0.20657495919794824,0.1879725085910653,0.194042042338895,0.18947854677862017,0.896265560165975,0.10415518414584836
Thailand,2,Alto,0.19068660774983004,0.22056423408719986,0.14226804123711342,0.3161441955826945,0.16534876769652998,0.951417704011065,0.15207740280744456
United Kingdom,1,Medio,0.13069340584636302,0.13989274889251574,0.12474226804123713,0.20166462863815937,0.12138257112578461,0.9059474412171507,0.11357772506754485
Tanzania,0,Bajo,0.08293677770224338,0.08999766845418514,0.07869415807560137,0.20972407910407603,0.07219912502377653,0.9196058091286307,0.14582238488325078
France,2,Alto,0.21991842284160434,0.24283049661925862,0.19312714776632306,0.23720024634534764,0.2144778674492541,0.8947095435684647,0.10328211158359002
South Africa,2,Alto,0.24677090414683892,0.2840988575425507,0.17731958762886602,0.3310193468762795,0.2802912964321622,0.7543222683264177,0.057959821176803455
Italy,1,Medio,0.09619306594153638,0.1071345301935183,0.08316151202749142,0.24642960157977645,0.0925790060052716,0.8915975103734439,0.09892225381918297
Kenya,1,Medio,0.10265125764785861,0.10899976684541852,0.09828178694158077,0.199575603114578,0.09475285997663106,0.9085408022130013,0.11963773724976967
Myanmar,0,Bajo,0.047416723317471106,0.05688971788295641,0.03298969072164949,0.34370669182700925,0.04187386212331187,0.9076763485477177,0.1345631600391008
Colombia,1,Medio,0.10129163834126445,0.11552809512706927,0.07800687285223368,0.2954743388625645,0.08198146789489417,0.9451936376210235,0.2002301575507919
South Korea,2,Alto,0.42539089055064583,0.41711354628118447,0.49072164948453606,0.12178515157771141,0.4223526534605039,0.8478561549100967,0.09116293652885592
Sudan,0,Bajo,0.05948334466349422,0.04931219398461181,0.09656357388316152,0.044177099742618325,0.05486263960218474,0.9043914246196403,0.12073176787154102
Uganda,1,Medio,0.08599592114208023,0.10037304733038005,0.05876288659793815,0.3496703040426561,0.0760577158229396,0.9175311203319502,0.1396523536156357
Spain,1,Medio,0.11811692726036711,0.12450454651433901,0.11958762886597939,0.18057801246050548,0.11225238444607484,0.8966113416320884,0.10456240376721979
Algeria,0,Bajo,0.0336505778382053,0.02821170435999068,0.05498281786941581,0.05931830293140716,0.03095024591723051,0.9005878284923927,0.117784267038052
Iraq,0,Bajo,0.061692726036709715,0.0626020051294008,0.06254295532646048,0.1759002868654635,0.0550256786500367,0.9100968188105116,0.1337661170762388
Argentina,1,Medio,0.16468388851121687,0.18780601538820238,0.12680412371134023,0.29724599200743534,0.14975136545202578,0.9318810511756569,0.13659643290354462
Afghanistan,0,Bajo,0.047926580557443914,0.03474003264164142,0.09312714776632303,0.009297701265192776,0.048938887530230166,0.8874481327800829,0.087940312441446
Yemen,0,Bajo,0.04724677090414684,0.04021916530659828,0.07422680412371134,0.05808670671667776,0.057579957066384066,0.8573651452282157,0.05303705126636106
Canada,2,Alto,0.19935418082936776,0.2127535556073677,0.1879725085910653,0.20300404561431712,0.1892611613814842,0.9083679114799446,0.11199507188484412
Poland,2,Alto,0.24422161794697486,0.304150151550478,0.11993127147766323,0.5764760237990589,0.2137713649085623,0.962655601659751,0.1490489876422662
Morocco,0,Bajo,0.04928619986403807,0.036138960130566576,0.09518900343642611,0.01047602429372041,0.06643841199967393,0.835235131396957,0.03947466942210641
Angola,1,Medio,0.1048606390210741,0.11774306365120074,0.08831615120274915,0.2579243753308692,0.09578544061302682,0.9107883817427386,0.12245258687036889
Ukraine,2,Alto,0.3805234534330388,0.46887386337141523,0.24501718213058424,0.41810008964039685,0.35512621939621214,0.9232365145228215,0.11364816229140771
Uzbekistan,1,Medio,0.1390210740992522,0.12951737001632083,0.18384879725085915,0.08668445579858436,0.12909975272411076,0.9126901798063624,0.11989756952244036
Malaysia,0,Bajo,0.07460910944935419,0.07950571228724646,0.06288659793814433,0.24090421377552962,0.07116654438738078,0.8869294605809128,0.09176654741665699
Mozambique,1,Medio,0.1444595513256288,0.17113546281184427,0.0986254295532646,0.3625987555706782,0.16301187467731854,0.8214038727524204,0.062092530978877
Ghana,1,Medio,0.08327668252889191,0.09361156446724181,0.07010309278350516,0.25846917715802187,0.0855139805983533,0.8801867219917012,0.08563645348765973
Peru,0,Bajo,0.036029911624745066,0.03695500116577291,0.038831615120274915,0.17124977249673085,0.034482758620689655,0.8978215767634854,0.10876499393503751
Saudi Arabia,1,Medio,0.12049626104690687,0.11389601305665656,0.11168384879725086,0.17540117079046846,0.10545909078557648,0.9284232365145227,0.14521317220000898
Madagascar,1,Medio,0.09398368456832087,0.09174632781534159,0.11477663230240552,0.11703208520728065,0.0855139805983533,0.9100968188105116,0.1234997896662841
Ivory Coast,1,Medio,0.1065601631543168,0.12054091862905106,0.06804123711340206,0.36742610173489704,0.11279584793891471,0.8641078838174273,0.07659267732128046
Nepal,2,Alto,0.20887151597552686,0.19911401259034744,0.27731958762886594,0.08730690862916746,0.17779408168256297,0.9664591977869985,0.16377794749689262
Cameroon,1,Medio,0.10842963970088376,0.1185591046864071,0.09175257731958764,0.2473124722013479,0.11431754571886633,0.864280774550484,0.07704449136678795
Venezuela,1,Medio,0.12457511896668931,0.1517836325483796,0.0725085910652921,0.44933249029648853,0.08665525393331704,0.9999999999999999,0.4820522036030369
Niger,0,Bajo,0.04707681849082256,0.03986943343436699,0.07628865979381444,0.052552972957679744,0.05497133230075271,0.8658367911479944,0.060436016129155286
Australia,2,Alto,0.2053025152957172,0.21706691536488695,0.19862542955326462,0.19218979116541213,0.19513056710415475,0.9023167358229598,0.10785174536142682
North Korea,2,Alto,0.1716519374575119,0.12905106085334578,0.3168384879725086,0.0,0.15665335181109208,0.9216804979253111,0.124843596613562
Syria,0,Bajo,0.001869476546566962,0.0030310095593378394,0.0030927835051546403,0.23470274225031673,0.007907393820820088,0.8769017980636237,0.030742620962307385
Mali,0,Bajo,0.056254248810333106,0.04733038004196784,0.09140893470790379,0.04717441446505341,0.05437352245862884,0.8959197786998616,0.1037256511205662
Burkina Faso,1,Medio,0.0982324949014276,0.10783399393798089,0.09037800687285225,0.2217671759182983,0.09964403141218989,0.8798409405255877,0.0874935980951525
Taiwan,2,Alto,0.2593473827328348,0.24154814642107716,0.34329896907216495,0.08210450651638826,0.2474932746392761,0.8975622406639003,0.10475146240305419
Sri Lanka,2,Alto,0.26325628823929303,0.29459081370948936,0.22268041237113406,0.2550818790295832,0.23262954811010567,0.935338865836791,0.12546385731614176
Malawi,1,Medio,0.1279741672331747,0.14758685008160413,0.09450171821305842,0.31718601038901645,0.10736121301051602,0.9464038727524204,0.1752250026206628
Zambia,1,Medio,0.12542488103331068,0.14269060387036606,0.09243986254295533,0.3123651428182866,0.11638270699165783,0.9109612724757952,0.11960807603142826
Kazakhstan,2,Alto,0.296057104010877,0.34716717183492657,0.20240549828178697,0.3624485928689278,0.27991087198717424,0.9064661134163208,0.10855057606933251
Chad,0,Bajo,0.07902787219578518,0.0781067847983213,0.09278350515463918,0.13073084385408268,0.08122061900491835,0.8793222683264176,0.08402921290264609
Chile,1,Medio,0.1670632222977566,0.1935183026346468,0.11546391752577322,0.3484289268906381,0.15051221434200157,0.9239280774550483,0.1276756967219252
Romania,1,Medio,0.16961250849762066,0.20237817673117278,0.10652920962199312,0.4064832962302805,0.15616423466753618,0.9144190871369294,0.11848143899166468
Somalia,1,Medio,0.08497620666213461,0.06913033341105154,0.14054982817869416,0.0324729195504653,0.0935028939430994,0.8594398340248962,0.06860317061339433
Senegal,1,Medio,0.11556764106050306,0.12462112380508278,0.1013745704467354,0.2308000434654725,0.10290481236922909,0.9234094052558782,0.13882923761175253
Guatemala,0,Bajo,0.07902787219578518,0.08475169037071578,0.07869415807560137,0.1927722021428801,0.07839460884215103,0.8879668049792531,0.0935260618253062
Netherlands,2,Alto,0.17760027192386132,0.16390767078573096,0.23986254295532652,0.07870200785613221,0.1737724518355479,0.886237897648686,0.09766759741441472
Ecuador,1,Medio,0.13137321549966008,0.14397295406854746,0.11134020618556702,0.24735979991302848,0.12056737588652482,0.9118257261410787,0.1198628112578945
Cambodia,0,Bajo,0.06390210740992523,0.06155280951270693,0.08247422680412372,0.10789282874277215,0.06328632374120269,0.8898686030428768,0.09434386091019362
Zimbabwe,2,Alto,0.28602991162474506,0.29598974119841454,0.3099656357388316,0.15260466097042513,0.25512893671367626,0.9567773167358229,0.1369276400748251
Guinea,0,Bajo,0.07205982324949015,0.06656563301468875,0.10171821305841924,0.08066217140680229,0.08035107741637455,0.8618603042876901,0.06668763196909114
Benin,0,Bajo,0.07715839564921823,0.08323618559104688,0.0725085910652921,0.21128405819188356,0.08790521996684873,0.8532157676348547,0.06205268741770831
Rwanda,1,Medio,0.11182868796736915,0.11599440429004432,0.11993127147766323,0.16097761754981454,0.09774190918725034,0.926521438450899,0.14555909969001304
Burundi,1,Medio,0.10791978246091095,0.11377943576591282,0.10309278350515463,0.1979045683932193,0.09861145077579414,0.9121715076071921,0.12386001168066849
Bolivia,0,Bajo,0.08072739632902788,0.0749591979482397,0.10790378006872853,0.09029328754949056,0.08127496535420235,0.8845089903181189,0.0897744877389211
Tunisia,0,Bajo,0.03874915023793338,0.0376544649102355,0.049140893470790384,0.12316607511120548,0.03855873481698867,0.8919432918395573,0.09444188050594449
South Sudan,1,Medio,0.12321549966009517,0.1283515971088832,0.12164948453608247,0.18417952330589432,0.09643759680443467,0.9674965421853388,0.2439186223722815
Haiti,1,Medio,0.10876954452753229,0.10608533457682444,0.13402061855670105,0.11326162072192289,0.11746963397733758,0.854253112033195,0.07075227997663866
Belgium,2,Alto,0.28076138681169277,0.2833993937980881,0.311340206185567,0.1401581963674724,0.2674112116518573,0.8788035961272475,0.09683023775978623
Jordan,0,Bajo,0.004928619986403806,0.004896246211238053,0.005498281786941584,0.21381873537489626,0.007635662074400154,0.8869294605809128,0.06029583539242553
Dominican Republic,0,Bajo,0.0783480625424881,0.08801585451154118,0.059106529209622,0.29611897503161405,0.07268824216733241,0.904564315352697,0.11725594141695492
United Arab Emirates,0,Bajo,0.0270224337185588,0.018768943809745864,0.03436426116838489,0.08384842383614655,0.04964539007092199,0.826417704011065,0.020877791005885257
Cuba,2,Alto,0.25577838205302517,0.2785031475868501,0.2202749140893471,0.23898662862712322,0.23839026113420833,0.9190871369294605,0.11616285392502992
Honduras,0,Bajo,0.05302515295717199,0.06166938680345069,0.04054982817869417,0.3009816834118471,0.041167359582620036,0.9272130013831258,0.21726043398176015
Czech Republic,2,Alto,0.2002039428959891,0.22569363487992541,0.1553264604810997,0.2902286912877985,0.19018504931931196,0.9023167358229598,0.10794528497958829
Sweden,2,Alto,0.19612508497620665,0.18162741897878298,0.2584192439862543,0.08356242043316517,0.20474987092742045,0.8549446749654218,0.08266319241655061
Tajikistan,0,Bajo,0.04401767505098572,0.04348332944742365,0.051202749140893476,0.14208282802899264,0.04758022879813048,0.8800138312586445,0.07548135742323199
Papua New Guinea,0,Bajo,0.025492861998640377,0.01935183026346468,0.04707903780068729,0.04037674563969562,0.02866769924730306,0.8836445366528354,0.07234826362370275
Portugal,2,Alto,0.1842284160435078,0.19899743529960365,0.18316151202749142,0.19072472854898792,0.17638107660117933,0.8981673582295988,0.10542604164021586
Azerbaijan,0,Bajo,0.029231815091774298,0.03182560037304734,0.026804123711340215,0.22768399977757342,0.036710958941333124,0.868430152143845,0.05250383785566594
Greece,0,Bajo,0.07545887151597552,0.08708323618559106,0.05773195876288661,0.3006953469940401,0.07187304692807261,0.8981673582295988,0.10715559866068715
Hungary,2,Alto,0.27413324269204625,0.2938913499650268,0.27388316151202746,0.18579649224676964,0.2619222303741746,0.9014522821576763,0.10651438134946901
Togo,1,Medio,0.12066621346023114,0.130916297505246,0.11134020618556702,0.2164909959651083,0.12089345398222874,0.8801867219917011,0.09023929033812675
Israel,0,Bajo,0.07426920462270566,0.08370249475402192,0.05738831615120276,0.28849628660994203,0.07328605200945627,0.8934993084370677,0.10030964791006733
Austria,2,Alto,0.23045547246770903,0.24667754721380278,0.2147766323024055,0.2072257261432809,0.22572756175103936,0.8915975103734439,0.1016956662750545
Belarus,2,Alto,0.3341264445955133,0.40219165306598276,0.2357388316151203,0.3606557627667756,0.32311621966794385,0.8829529737206085,0.09931280711554454
Switzerland,2,Alto,0.18592794017675052,0.1894380974586151,0.19690721649484538,0.15647700598693548,0.1922502105921035,0.8480290456431535,0.07872460732659861
